Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time,interval,group_id
6433,20221017,6418,6433,960,6,1,0,2022-10-17 00:47:01,0,828,174.930471,46.052464,174.937437,46.052404,174935323,46049618,1665965847,1665965922,1665966449,1665965810,2022-10-17 00:30:51,1665965822,2022-10-17 00:16:50,2022-10-17 00:16:00,1
12939,20221017,12890,12939,3549,6,1,0,2022-10-17 00:47:32,0,2070,174.944613,46.052398,174.947259,46.056866,174942486,46050462,1665965877,1665965969,1665966369,1665965830,2022-10-17 00:29:23,1665965855,2022-10-17 00:17:10,2022-10-17 00:16:00,1
29140,20221017,28874,29140,133,6,1,0,2022-10-17 01:17:45,0,2795,174.941922,46.049789,174.937941,46.052555,174935306,46052876,1665967677,1665967685,1665968610,1665967637,2022-10-17 01:17:37,1665967669,2022-10-17 00:47:17,2022-10-17 00:46:00,2
48962,20221017,48248,48962,23,6,1,0,2022-10-17 01:24:13,0,72,174.940222,46.051728,174.963339,46.044171,174948099,46059915,1665967647,1665967669,1665968450,1665967625,2022-10-17 01:15:13,1665967635,2022-10-17 00:47:05,2022-10-17 00:46:00,2
25976,20221017,25761,25976,1629,6,1,0,2022-10-17 01:43:12,0,2325,174.946941,46.055313,174.942787,46.049324,174947890,46052455,1665969207,1665969216,1665969699,1665969182,2022-10-17 01:25:25,1665969194,2022-10-17 01:13:02,2022-10-17 01:12:00,3
42233,20221017,41701,42233,639,6,1,0,2022-10-17 01:43:16,0,1761,174.941735,46.049543,174.947064,46.04186,174939477,46051595,1665969207,1665969225,1665969636,1665969189,2022-10-17 01:28:19,1665969197,2022-10-17 01:13:09,2022-10-17 01:12:00,3
33,20221017,33,33,31,6,1,0,2022-10-17 02:30:43,0,28,174.941567,46.053244,174.947777,46.059713,174941496,46060482,1665972117,1665972136,1665972598,1665972029,2022-10-17 02:15:15,1665972104,2022-10-17 02:00:29,2022-10-17 02:00:00,4
25983,20221017,25768,25983,2631,6,1,0,2022-10-17 02:31:12,0,194,174.93913,46.04319,174.94815,46.052493,174940893,46043176,1665972087,1665972099,1665972384,1665972062,2022-10-17 02:22:06,1665972075,2022-10-17 02:01:02,2022-10-17 02:00:00,4
25988,20221017,25773,25988,2819,6,1,0,2022-10-17 02:43:42,0,19,174.942316,46.050732,174.943396,46.045278,174941857,46049986,1665972837,1665972851,1665973324,1665972816,2022-10-17 02:25:44,1665972823,2022-10-17 02:13:36,2022-10-17 02:12:00,5
25989,20221017,25774,25989,500,6,1,0,2022-10-17 02:42:46,0,2118,174.941705,46.046954,174.941791,46.059573,174939937,46047030,1665972837,1665972844,1665973140,1665972756,2022-10-17 02:26:43,1665972827,2022-10-17 02:12:36,2022-10-17 02:12:00,5
42244,20221017,41712,42244,72,6,1,0,2022-10-17 02:42:29,0,142,174.93664,46.05224,174.946783,46.053244,174937124,46051915,1665972777,1665972785,1665972914,1665972732,2022-10-17 02:22:42,1665972750,2022-10-17 02:12:12,2022-10-17 02:12:00,6
55475,20221017,54558,55475,632,6,1,0,2022-10-17 02:43:31,0,128,174.951074,46.051835,174.941877,46.059002,174946189,46053439,1665972837,1665972871,1665973787,1665972809,2022-10-17 02:39:22,1665972813,2022-10-17 02:13:29,2022-10-17 02:12:00,6
55480,20221017,54563,55480,299,6,1,0,2022-10-17 02:56:30,0,2923,174.93677,46.04715,174.932536,46.043061,174937531,46046407,1665973647,1665973661,1665974418,1665973582,2022-10-17 02:43:09,1665973642,2022-10-17 02:26:22,2022-10-17 02:26:00,7
58716,20221017,57683,58716,573,6,1,0,2022-10-17 03:02:57,0,1152,174.945823,46.052173,174.968223,46.065956,174946065,46052448,1665973767,1665973837,1665974194,1665973670,2022-10-17 02:50:30,1665973679,2022-10-17 02:27:50,2022-10-17 02:26:00,7
22709,20221017,22540,22709,1047,6,1,0,2022-10-17 03:07:34,0,1210,174.946851,46.054215,174.938674,46.046354,174946001,46054558,1665974217,1665974281,1665974840,1665974003,2022-10-17 02:54:22,1665974017,2022-10-17 02:33:23,2022-10-17 02:32:00,8
48977,20221017,48263,48977,1789,6,1,0,2022-10-17 03:02:55,0,538,174.940177,46.043261,174.948324,46.059904,174940813,46043234,1665974007,1665974014,1665974381,1665973974,2022-10-17 02:48:35,1665973977,2022-10-17 02:32:54,2022-10-17 02:32:00,8
48,20221017,48,48,44,6,1,0,2022-10-17 03:04:54,0,43,174.942423,46.050349,174.943255,46.05154,174941838,46049790,1665974097,1665974104,1665974341,1665974088,2022-10-17 02:40:35,1665974096,2022-10-17 02:34:48,2022-10-17 02:34:00,9
48978,20221017,48264,48978,718,6,1,0,2022-10-17 03:05:34,0,726,174.947322,46.058867,174.951937,46.060582,174936237,46047166,1665974157,1665974161,1665975663,1665974120,2022-10-17 03:05:18,1665974136,2022-10-17 02:35:20,2022-10-17 02:34:00,9
54,20221017,54,54,30,6,1,0,2022-10-17 03:23:08,0,49,174.940992,46.051686,174.928946,46.042819,174946965,46052837,1665975208,1665975218,1665975841,1665975185,2022-10-17 03:12:51,1665975188,2022-10-17 02:53:05,2022-10-17 02:52:00,10
12967,20221017,12918,12967,113,6,1,0,2022-10-17 03:22:37,0,108,174.951199,46.056274,174.93197,46.055867,174955938,46056977,1665975178,1665975194,1665975556,1665975155,2022-10-17 03:04:14,1665975160,2022-10-17 02:52:35,2022-10-17 02:52:00,10
48988,20221017,48274,48988,803,6,1,0,2022-10-17 03:25:40,0,1545,174.93866,46.04493,174.959267,46.05013,174938693,46044017,1665975357,1665975368,1665975649,1665975329,2022-10-17 03:14:42,1665975342,2022-10-17 02:55:29,2022-10-17 02:54:00,11
