Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time,interval,group_id
13854,20221019,13794,13854,30,6,1,0,2022-10-19 05:51:18,0,194,174.93913,46.04319,174.939178,46.046643,174940679,46042893,1666156886,1666156893,1666157261,1666156877,2022-10-19 05:45:35,1666156879,2022-10-19 05:21:17,2022-10-19 05:20:00,1
13856,20221019,13796,13856,2464,6,1,0,2022-10-19 05:51:39,0,688,174.947882,46.051327,174.948917,46.054857,174939684,46043298,1666156908,1666156914,1666157775,1666156886,2022-10-19 05:44:02,1666156903,2022-10-19 05:21:26,2022-10-19 05:20:00,1
39859,20221019,39387,39859,1582,0,1,0,2022-10-19 05:51:00,0,446,174.582681,45.8617,174.564093,45.860966,174595473,45871137,1666157451,1666157462,1666158667,1666156847,2022-10-19 06:06:51,1666157450,2022-10-19 05:20:47,2022-10-19 05:20:00,2
43198,20221019,42645,43198,3481,1,1,0,2022-10-19 05:52:14,0,464,174.530389,45.905822,174.530083,45.909028,174528091,45908449,1666157084,1666157090,1666157585,1666156918,2022-10-19 05:45:25,1666156934,2022-10-19 05:21:58,2022-10-19 05:20:00,2
23666,20221019,23489,23666,3386,2,1,0,2022-10-19 05:57:53,0,90,174.53672,45.866359,174.546281,45.889629,174542709,45866195,1666156995,1666156998,1666157467,1666156965,2022-10-19 05:52:39,1666156974,2022-10-19 05:22:45,2022-10-19 05:22:00,3
30076,20221019,29794,30076,470,9,1,0,2022-10-19 05:54:07,0,1313,174.647791,45.879721,174.645468,45.870945,174647732,45879613,1666157121,1666157124,1666157508,1666157039,2022-10-19 05:44:12,1666157048,2022-10-19 05:23:59,2022-10-19 05:22:00,3
4096,20221019,4090,4096,2345,2,1,0,2022-10-19 06:00:18,0,761,174.526117,45.865954,174.550285,45.848058,174525738,45872582,1666157414,1666157436,1666158014,1666157110,2022-10-19 05:55:15,1666157119,2022-10-19 05:25:10,2022-10-19 05:24:00,4
4098,20221019,4092,4098,2346,2,1,0,2022-10-19 06:02:10,0,594,174.55675,45.86532,174.545921,45.878841,174560073,45864486,1666157865,1666157872,1666158186,1666157148,2022-10-19 05:57:51,1666157528,2022-10-19 05:25:48,2022-10-19 05:24:00,4
17112,20221019,17007,17112,888,5,1,0,2022-10-19 06:00:55,0,666,174.552989,45.903274,174.527316,45.911251,174552790,45897904,1666157204,1666157209,1666157507,1666157084,2022-10-19 05:49:13,1666157199,2022-10-19 05:24:44,2022-10-19 05:24:00,5
26902,20221019,26671,26902,1902,4,1,0,2022-10-19 05:59:15,0,2048,174.547259,45.821771,174.533137,45.8212,174549416,45831501,1666157355,1666157366,1666158106,1666157053,2022-10-19 05:47:44,1666157342,2022-10-19 05:24:13,2022-10-19 05:24:00,5
26904,20221019,26673,26904,3251,2,1,0,2022-10-19 06:05:17,0,121,174.53423,45.858376,174.564796,45.870401,174536665,45861633,1666157504,1666157529,1666157716,1666157103,2022-10-19 05:50:26,1666157118,2022-10-19 05:25:03,2022-10-19 05:24:00,6
33329,20221019,32991,33329,4019,0,1,0,2022-10-19 06:00:16,0,497,174.547688,45.873444,174.566559,45.886823,174546560,45880189,1666157355,1666157376,1666158028,1666157106,2022-10-19 05:49:29,1666157119,2022-10-19 05:25:06,2022-10-19 05:24:00,6
36619,20221019,36224,36619,746,0,1,0,2022-10-19 06:05:35,0,646,174.565807,45.865868,174.580087,45.858995,174566222,45859615,1666157775,1666157779,1666158509,1666157085,2022-10-19 06:02:30,1666157727,2022-10-19 05:24:45,2022-10-19 05:24:00,7
39857,20221019,39385,39857,411,5,1,0,2022-10-19 05:54:38,0,842,174.561382,45.905478,174.5433,45.904207,174553443,45898245,1666157084,1666157090,1666157758,1666157072,2022-10-19 05:41:46,1666157079,2022-10-19 05:24:32,2022-10-19 05:24:00,7
39858,20221019,39386,39858,4129,9,1,0,2022-10-19 05:55:30,0,182,174.64791,45.8794,174.663811,45.877631,174650581,45879473,1666157421,1666157430,1666157775,1666157117,2022-10-19 05:50:25,1666157130,2022-10-19 05:25:17,2022-10-19 05:24:00,8
46615,20221019,45962,46615,167,5,1,0,2022-10-19 06:00:29,0,15,174.565946,45.898786,174.543542,45.901025,174566789,45895152,1666157264,1666157272,1666157718,1666157122,2022-10-19 05:53:33,1666157129,2022-10-19 05:25:22,2022-10-19 05:24:00,8
923,20221019,923,923,794,7,1,0,2022-10-19 06:02:56,0,648,174.566846,45.854334,174.551905,45.831827,174566837,45854324,1666157331,1666157401,1666157602,1666157267,2022-10-19 05:46:21,1666157278,2022-10-19 05:27:47,2022-10-19 05:26:00,9
7388,20221019,7368,7388,215,9,1,0,2022-10-19 06:06:27,0,1825,174.595452,45.871049,174.586333,45.893317,174599926,45871257,1666157421,1666157444,1666157721,1666157185,2022-10-19 05:51:05,1666157190,2022-10-19 05:26:25,2022-10-19 05:26:00,9
