Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time
922,20221019,922,922,793,6,1,0,1666158646,0,688,174947882,46051327,174958466,46061246,174947685,46051192,1666156856,1666156864,1666157477,1666156834,1666157760,1666156848,1666156834
923,20221019,923,923,794,7,1,0,1666159376,0,648,174566846,45854334,174551905,45831827,174566837,45854324,1666157331,1666157401,1666157602,1666157267,1666158381,1666157278,1666157267
924,20221019,924,924,21,6,1,0,1666159114,0,689,174938708,46046384,174951428,46060592,174938735,46044585,1666157335,1666157351,1666157801,1666157311,1666159032,1666157315,1666157311
925,20221019,925,925,795,5,1,0,1666159441,0,690,174568290,45892700,174560259,45869893,174566955,45892888,1666157355,1666157363,1666157664,1666157327,1666159326,1666157342,1666157327
926,20221019,926,926,796,4,1,0,1666159891,0,691,174539284,45832673,174555340,45842004,174538800,45832768,1666158045,1666158051,1666158405,1666157467,1666158900,1666157782,1666157467
927,20221019,927,927,205,2,1,0,1666159928,0,545,174528011,45854879,174547629,45850333,174531583,45857235,1666158134,1666158141,1666158399,1666158122,1666159506,1666158128,1666158122
928,20221019,928,928,797,7,1,0,1666159939,0,655,174578298,45862248,174562334,45859768,174578877,45866893,1666158171,1666158181,1666158753,1666158138,1666159298,1666158142,1666158138
929,20221019,929,929,798,15,1,0,1666159998,0,585,174548040,45880110,174546635,45884968,174545017,45877721,1666158464,1666158473,1666158943,1666158188,1666159297,1666158199,1666158188
930,20221019,930,930,799,9,1,0,1666161736,0,692,174634883,45879397,174634148,45874699,174634695,45879754,1666158321,1666158330,1666159177,1666158255,1666160048,1666158295,1666158255
931,20221019,931,931,800,0,0,0,1666159833,0,662,174583210,45863450,174595484,45856403,0,0,1666158404,0,0,1666158025,0,1666158034,1666158025
