Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time,interval,group_id
8631,20221022,8607,8631,2373,15,1,1,2022-10-22 07:54:24,0,1047,174.546158,45.868603,174.531717,45.873031,174545199,45877148,1666423361,1666423389,1666424074,1666423275,2022-10-22 07:50:40,1666423285,2022-10-22 07:21:15,2022-10-22 07:20:00,1
11901,20221022,11858,11901,830,3,1,1,2022-10-22 07:50:26,0,1238,174.5424,45.91971,174.528057,45.913774,174533910,45919447,1666423249,1666423255,1666423717,1666423203,2022-10-22 07:43:27,1666423228,2022-10-22 07:20:03,2022-10-22 07:20:00,1
5347,20221022,5337,5347,2713,9,1,1,2022-10-22 07:53:12,0,1978,174.570747,45.905117,174.553123,45.904905,174570716,45903430,1666423770,1666423783,1666423877,1666423385,2022-10-22 07:45:34,1666423394,2022-10-22 07:23:05,2022-10-22 07:22:00,2
5348,20221022,5338,5348,1625,9,1,1,2022-10-22 08:03:47,0,217,174.606672,45.869941,174.618585,45.850111,174606420,45870988,1666423530,1666423535,1666423620,1666423426,2022-10-22 07:53:11,1666423432,2022-10-22 07:23:46,2022-10-22 07:22:00,2
11902,20221022,11859,11902,3412,5,1,1,2022-10-22 07:54:25,0,1894,174.553499,45.898371,174.547975,45.891752,174552885,45897585,1666423601,1666423608,1666424083,1666423368,2022-10-22 07:42:37,1666423465,2022-10-22 07:22:48,2022-10-22 07:22:00,3
15033,20221022,14954,15033,3527,15,1,1,2022-10-22 07:58:17,0,1336,174.54576,45.8763,174.525466,45.878228,174544158,45893817,1666423361,1666423368,1666424140,1666423324,2022-10-22 07:50:00,1666423339,2022-10-22 07:22:04,2022-10-22 07:22:00,3
18387,20221022,18268,18387,3838,2,1,1,2022-10-22 08:28:20,0,2,174.532407,45.86146,174.521821,45.82424,174536344,45859703,1666423571,1666423583,1666423808,1666423379,2022-10-22 07:53:00,1666423404,2022-10-22 07:22:59,2022-10-22 07:22:00,4
18388,20221022,18269,18388,3030,17,1,1,2022-10-22 07:58:54,0,271,174.59633,45.87099,174.586324,45.886277,174606366,45870568,1666423440,1666423450,1666423719,1666423422,2022-10-22 07:51:51,1666423436,2022-10-22 07:23:42,2022-10-22 07:22:00,4
5350,20221022,5340,5350,2715,0,1,1,2022-10-22 07:56:24,0,45,174.552089,45.846011,174.561334,45.830592,174554376,45851258,1666423601,1666423607,1666424140,1666423571,2022-10-22 07:50:10,1666423587,2022-10-22 07:26:11,2022-10-22 07:26:00,5
5351,20221022,5341,5351,2180,4,1,1,2022-10-22 08:08:31,0,433,174.598052,45.865061,174.634217,45.874838,174585970,45865368,1666424022,1666424027,1666424278,1666423671,2022-10-22 08:10:35,1666423712,2022-10-22 07:27:51,2022-10-22 07:26:00,5
15034,20221022,14955,15034,3221,2,1,1,2022-10-22 08:06:18,0,677,174.53157,45.86115,174.502996,45.850008,174531150,45857850,1666424081,1666424098,1666424271,1666423748,2022-10-22 07:55:10,1666423762,2022-10-22 07:29:08,2022-10-22 07:28:00,6
18389,20221022,18270,18389,3768,9,1,1,2022-10-22 08:00:30,0,684,174.58909,45.89743,174.605216,45.895491,174584347,45894352,1666424040,1666424059,1666424343,1666423709,2022-10-22 07:51:11,1666423713,2022-10-22 07:28:29,2022-10-22 07:28:00,6
18390,20221022,18271,18390,1460,11,1,1,2022-10-22 08:03:04,0,2385,174.544816,45.887041,174.533923,45.896156,174540113,45901311,1666423751,1666423824,1666425066,1666423733,2022-10-22 07:58:30,1666423745,2022-10-22 07:28:53,2022-10-22 07:28:00,7
18391,20221022,18272,18391,623,13,1,1,2022-10-22 08:14:15,0,1134,174.574272,45.886242,174.537211,45.860116,174578934,45890607,1666423950,1666423955,1666424945,1666423752,2022-10-22 08:08:49,1666423939,2022-10-22 07:29:12,2022-10-22 07:28:00,7
