Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time,interval,group_id
15039,20221022,14960,15039,3860,0,1,1,2022-10-22 08:29:43,0,1086,174.564435,45.847477,174.533314,45.864583,174544868,45849156,1666424291,1666424334,1666425090,1666423594,2022-10-22 08:23:51,1666424220,2022-10-22 07:26:34,2022-10-22 07:26:00,
15035,20221022,14956,15035,3184,0,1,1,2022-10-22 08:00:41,0,776,174.58739,45.846475,174.591441,45.83815,174600011,45853523,1666423961,1666423966,1666424868,1666423831,2022-10-22 07:59:17,1666423842,2022-10-22 07:30:31,2022-10-22 07:30:00,
2189,20221022,2189,2189,21,6,1,1,2022-10-22 08:03:34,0,530,174.940639,46.04271,174.94342,46.058741,174940969,46043174,1666424059,1666424063,1666424443,1666423975,2022-10-22 07:51:17,1666424040,2022-10-22 07:32:55,2022-10-22 07:32:00,
11904,20221022,11861,11904,2409,2,1,1,2022-10-22 08:24:08,0,5,174.557054,45.865154,174.547034,45.824542,174557365,45873587,1666424321,1666424328,1666424763,1666424035,2022-10-22 08:07:01,1666424292,2022-10-22 07:33:55,2022-10-22 07:32:00,
2190,20221022,2190,2190,1562,7,1,1,2022-10-22 08:08:07,0,591,174.566799,45.86779,174.568677,45.864183,174556928,45860086,1666424411,1666424487,1666425293,1666424285,2022-10-22 07:59:07,1666424287,2022-10-22 07:38:05,2022-10-22 07:38:00,
5354,20221022,5344,5354,1415,6,1,1,2022-10-22 08:10:19,0,1979,174.943819,46.052455,174.926055,46.053321,174942104,46052225,1666424449,1666424457,1666425437,1666424343,2022-10-22 08:02:40,1666424437,2022-10-22 07:39:03,2022-10-22 07:38:00,
11905,20221022,11862,11905,822,13,1,1,2022-10-22 08:18:57,0,2282,174.581412,45.887833,174.557553,45.897145,174573854,45890810,1666424790,1666424796,1666425052,1666424327,2022-10-22 08:25:03,1666424338,2022-10-22 07:38:47,2022-10-22 07:38:00,
11907,20221022,11864,11907,2611,8,1,1,2022-10-22 08:11:57,0,456,174.589368,45.894566,174.595031,45.891267,174587297,45897299,1666424532,1666424540,1666424839,1666424510,2022-10-22 07:52:37,1666424519,2022-10-22 07:41:50,2022-10-22 07:40:00,
8635,20221022,8611,8635,683,1,1,1,2022-10-22 08:52:59,0,1004,174.542576,45.920696,174.52497,45.89718,174556369,45933758,1666425131,1666425136,1666426022,1666424531,2022-10-22 08:45:41,1666424584,2022-10-22 07:42:11,2022-10-22 07:42:00,
11908,20221022,11865,11908,2883,6,1,1,2022-10-22 08:20:41,0,125,174.946827,46.053421,174.926031,46.061285,174946453,46053315,1666424749,1666424798,1666425096,1666424739,2022-10-22 08:02:24,1666424742,2022-10-22 07:45:39,2022-10-22 07:44:00,
