Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time,interval,group_id
5850,20221023,5839,5850,2832,7,1,1,2022-10-23 09:51:43,0,1292,174.57258,45.860863,174.589985,45.857136,174568424.0,45861207.0,1666516855.0,1666516868.0,1666517540.0,1666516810.0,2022-10-23 09:51:35,1666516843.0,2022-10-23 09:20:10,2022-10-23 09:20:00,1
9095,20221023,9069,9095,1704,0,1,1,2022-10-23 10:05:29,0,514,174.579486,45.859352,174.587348,45.847799,174584050.0,45862031.0,1666516912.0,1666516924.0,1666517644.0,1666516822.0,2022-10-23 10:05:39,1666516831.0,2022-10-23 09:20:22,2022-10-23 09:20:00,1
18862,20221023,18738,18862,3863,12,1,1,2022-10-23 10:15:17,0,443,174.545778,45.889637,174.524266,45.903383,174544923.0,45888723.0,1666517092.0,1666517101.0,1666517544.0,1666516806.0,2022-10-23 10:07:46,1666516820.0,2022-10-23 09:20:06,2022-10-23 09:20:00,2
18863,20221023,18739,18863,1977,14,1,1,2022-10-23 10:03:53,0,1154,174.592612,45.883093,174.590416,45.885768,174574743.0,45890593.0,1666517306.0,1666517316.0,1666518813.0,1666516900.0,2022-10-23 10:01:29,1666516913.0,2022-10-23 09:21:40,2022-10-23 09:20:00,2
18864,20221023,18740,18864,3592,9,1,1,2022-10-23 09:54:23,0,504,174.567904,45.90763,174.568939,45.907231,174561856.0,45904780.0,1666517066.0,1666517071.0,1666517556.0,1666516822.0,2022-10-23 09:37:04,1666517050.0,2022-10-23 09:20:22,2022-10-23 09:20:00,3
22116,20221023,21952,22116,1632,8,1,1,2022-10-23 09:55:43,0,2750,174.588451,45.912375,174.587879,45.904904,174587956.0,45912517.0,1666517032.0,1666517037.0,1666518368.0,1666516846.0,2022-10-23 10:04:16,1666516904.0,2022-10-23 09:20:46,2022-10-23 09:20:00,3
5851,20221023,5840,5851,1920,8,1,1,2022-10-23 10:03:54,0,878,174.589647,45.894814,174.586619,45.915083,174587744.0,45893256.0,1666517306.0,1666517312.0,1666518017.0,1666516965.0,2022-10-23 09:53:55,1666516985.0,2022-10-23 09:22:45,2022-10-23 09:22:00,4
5852,20221023,5841,5852,2515,9,1,1,2022-10-23 10:07:25,0,1368,174.567959,45.907518,174.585296,45.915545,174566018.0,45909004.0,1666517576.0,1666517594.0,1666517840.0,1666516994.0,2022-10-23 10:04:54,1666517004.0,2022-10-23 09:23:14,2022-10-23 09:22:00,4
22117,20221023,21953,22117,2086,8,1,1,2022-10-23 10:04:51,0,1422,174.570519,45.904417,174.5862,45.895992,174576259.0,45906395.0,1666517366.0,1666517372.0,1666518127.0,1666517021.0,2022-10-23 10:06:48,1666517032.0,2022-10-23 09:23:41,2022-10-23 09:22:00,5
22119,20221023,21955,22119,1635,0,1,1,2022-10-23 09:53:13,0,3263,174.589672,45.874735,174.583538,45.868705,174594026.0,45879059.0,1666517363.0,1666517425.0,1666517715.0,1666516968.0,2022-10-23 09:44:09,1666516994.0,2022-10-23 09:22:48,2022-10-23 09:22:00,5
