Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time
2638,20221023,2638,2638,1223,6,1,1,1666518682,0,552,174939345.0,46043587.0,174963537.0,46052315.0,174939397.0,46043614.0,1666516913.0,1666517077.0,1666517691.0,1666516868.0,1666518352.0,1666516882.0,1666516868.0
2639,20221023,2639,2639,1792,18,1,1,1666518682,0,186,174566617.0,45769654.0,174563492.0,45765831.0,174585145.0,45767935.0,1666516892.0,1666516899.0,1666517489.0,1666516878.0,1666517699.0,1666516883.0,1666516878.0
2641,20221023,2641,2641,1319,16,1,1,1666518837,0,421,174634430.0,45878920.0,174633986.0,45880183.0,174641701.0,45876094.0,1666516946.0,1666516958.0,1666518020.0,1666516906.0,1666518370.0,1666516930.0,1666516906.0
2643,20221023,2643,2643,1720,8,1,1,1666519260,0,1384,174576566.0,45898759.0,174569158.0,45909290.0,174578758.0,45898283.0,1666517303.0,1666517314.0,1666518316.0,1666517265.0,1666518995.0,1666517281.0,1666517265.0
2647,20221023,2647,2647,549,1,1,1,1666519630,0,627,174530604.0,45905886.0,174557990.0,45903107.0,174529624.0,45906056.0,1666517602.0,1666517608.0,1666518138.0,1666517525.0,1666518871.0,1666517530.0,1666517525.0
2648,20221023,2648,2648,777,6,1,1,1666519399,0,196,174941750.0,46051681.0,174935147.0,46054129.0,174946145.0,46054232.0,1666517603.0,1666517645.0,1666518489.0,1666517592.0,1666518779.0,1666517600.0,1666517592.0
2649,20221023,2649,2649,995,9,1,1,1666520047,0,1402,174649011.0,45880310.0,174630788.0,45885992.0,174650581.0,45878998.0,1666518025.0,1666518028.0,1666518142.0,1666517757.0,1666520261.0,1666517768.0,1666517757.0
2650,20221023,2650,2650,1795,0,0,1,1666519658,0,373,174586799.0,45846823.0,174603696.0,45851978.0,0.0,0.0,1666517873.0,0.0,0.0,1666517840.0,0.0,1666517859.0,1666517840.0
2651,20221023,2651,2651,991,1,0,1,1666520030,0,485,174525396.0,45905041.0,174524115.0,45896650.0,0.0,0.0,1666518083.0,0.0,0.0,1666517989.0,0.0,1666517991.0,1666517989.0
2652,20221023,2652,2652,87,0,1,1,1666521121,0,659,174580827.0,45864785.0,174607637.0,45874651.0,174583179.0,45861482.0,1666518503.0,1666518530.0,1666519090.0,1666517975.0,1666520332.0,1666518003.0,1666517975.0
2653,20221023,2653,2653,1796,7,1,1,1666520650,0,262,174568515.0,45859490.0,174556231.0,45871071.0,174574499.0,45846017.0,1666518025.0,1666518045.0,1666518815.0,1666518006.0,1666519913.0,1666518011.0,1666518006.0
2654,20221023,2654,2654,995,9,1,1,1666520682,0,1403,174645221.0,45886119.0,174634137.0,45880892.0,174650487.0,45879038.0,1666518056.0,1666518058.0,1666518312.0,1666517970.0,1666519820.0,1666518052.0,1666517970.0
2655,20221023,2655,2655,1797,0,0,1,1666521110,0,712,174579158.0,45859748.0,174568794.0,45873983.0,0.0,0.0,1666518233.0,0.0,0.0,1666517760.0,0.0,1666517981.0,1666517760.0
2656,20221023,2656,2656,1798,0,1,1,1666520058,0,1404,174571401.0,45854861.0,174551040.0,45861814.0,174571802.0,45851278.0,1666518172.0,1666518180.0,1666518423.0,1666517826.0,1666520334.0,1666518141.0,1666517826.0
2657,20221023,2657,2657,1799,2,1,1,1666520575,0,90,174536720.0,45866359.0,174525657.0,45878469.0,174536860.0,45866372.0,1666518292.0,1666518297.0,1666518746.0,1666518233.0,1666520489.0,1666518237.0,1666518233.0
2658,20221023,2658,2658,990,0,1,1,1666521893,0,69,174578692.0,45877759.0,174559254.0,45864312.0,174578684.0,45877687.0,1666518773.0,1666518781.0,1666519143.0,1666518547.0,1666520879.0,1666518766.0,1666518547.0
2659,20221023,2659,2659,96,5,1,1,1666520656,0,641,174549661.0,45884568.0,174544151.0,45891680.0,174548071.0,45877921.0,1666518954.0,1666518963.0,1666519304.0,1666518854.0,1666520162.0,1666518857.0,1666518854.0
