Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time,interval,group_id
2638,20221023,2638,2638,1223,6,1,1,2022-10-23 09:51:22,0,552,174.939345,46.043587,174.963537,46.052315,174939397.0,46043614.0,1666516913.0,1666517077.0,1666517691.0,1666516868.0,2022-10-23 09:45:52,1666516882.0,2022-10-23 09:21:08,2022-10-23 09:20:00,
2639,20221023,2639,2639,1792,18,1,1,2022-10-23 09:51:22,0,186,174.566617,45.769654,174.563492,45.765831,174585145.0,45767935.0,1666516892.0,1666516899.0,1666517489.0,1666516878.0,2022-10-23 09:34:59,1666516883.0,2022-10-23 09:21:18,2022-10-23 09:20:00,
2641,20221023,2641,2641,1319,16,1,1,2022-10-23 09:53:57,0,421,174.63443,45.87892,174.633986,45.880183,174641701.0,45876094.0,1666516946.0,1666516958.0,1666518020.0,1666516906.0,2022-10-23 09:46:10,1666516930.0,2022-10-23 09:21:46,2022-10-23 09:20:00,
5848,20221023,5837,5848,2831,18,1,1,2022-10-23 09:51:14,0,2041,174.560799,45.768464,174.556955,45.749624,174560389.0,45770118.0,1666516823.0,1666517010.0,1666517595.0,1666516801.0,2022-10-23 09:47:17,1666516819.0,2022-10-23 09:20:01,2022-10-23 09:20:00,
25393,20221023,25189,25393,2962,13,1,1,2022-10-23 10:23:22,0,216,174.577992,45.893484,174.570452,45.919513,174578026.0,45898886.0,1666517396.0,1666517411.0,1666518111.0,1666516865.0,2022-10-23 10:05:45,1666516884.0,2022-10-23 09:21:05,2022-10-23 09:20:00,
5855,20221023,5844,5855,639,6,1,1,2022-10-23 09:52:39,0,2042,174.941918,46.050096,174.926108,46.051801,174954731.0,46060938.0,1666517153.0,1666517168.0,1666517881.0,1666516950.0,2022-10-23 09:46:29,1666517145.0,2022-10-23 09:22:30,2022-10-23 09:22:00,
15532,20221023,15446,15532,1674,3,1,1,2022-10-23 09:52:33,0,856,174.528552,45.905873,174.533958,45.897515,174529981.0,45906312.0,1666516973.0,1666516978.0,1666517609.0,1666516945.0,2022-10-23 09:45:25,1666516953.0,2022-10-23 09:22:25,2022-10-23 09:22:00,
18871,20221023,18747,18871,1622,15,1,1,2022-10-23 10:12:00,0,137,174.54576,45.8763,174.553618,45.874905,174544307.0,45890839.0,1666518233.0,1666518332.0,1666518900.0,1666517270.0,2022-10-23 10:04:57,1666517281.0,2022-10-23 09:27:50,2022-10-23 09:26:00,
15542,20221023,15456,15542,1378,13,1,1,2022-10-23 10:04:49,0,623,174.591698,45.886961,174.605231,45.886978,174592991.0,45888228.0,1666517755.0,1666517814.0,1666518336.0,1666517386.0,2022-10-23 09:58:25,1666517388.0,2022-10-23 09:29:46,2022-10-23 09:28:00,
9099,20221023,9073,9099,3352,2,1,1,2022-10-23 10:13:50,0,455,174.55621,45.86644,174.548455,45.850884,174558733.0,45872020.0,1666517782.0,1666517793.0,1666518241.0,1666517502.0,2022-10-23 10:09:59,1666517511.0,2022-10-23 09:31:42,2022-10-23 09:30:00,
